nome,numero,ranking,id_pokedex,tipos,habilidades,altura,peso,base_experience
charmander,4,60,4,fire,"blaze, solar-power",6,85,62
oddish,43,61,43,"grass, poison","chlorophyll, run-away",5,54,64
exeggutor,103,62,103,"grass, psychic","chlorophyll, harvest",20,1200,186
jynx,124,63,124,"ice, psychic","oblivious, forewarn, dry-skin",14,406,159
starmie,121,64,121,"water, psychic","illuminate, natural-cure, analytic",11,800,182
seel,86,65,86,water,"thick-fat, hydration, ice-body",11,900,65
nidorina,30,66,30,poison,"poison-point, rivalry, hustle",8,200,128
sandslash,28,67,28,ground,"sand-veil, sand-rush",10,295,158
electabuzz,125,68,125,electric,"static, vital-spirit",11,300,172
arcanine,59,69,59,fire,"intimidate, flash-fire, justified",19,1550,194
nidoqueen,31,70,31,"poison, ground","poison-point, rivalry, sheer-force",13,600,227
omastar,139,71,139,"rock, water","swift-swim, shell-armor, weak-armor",10,350,173
rhyhorn,111,72,111,"ground, rock","lightning-rod, rock-head, reckless",10,1150,69
vileplume,45,73,45,"grass, poison","chlorophyll, effect-spore",12,186,221
machop,66,74,66,fighting,"guts, no-guard, steadfast",8,195,61
dragonite,149,75,149,"dragon, flying","inner-focus, multiscale",22,2100,270
sandshrew,27,76,27,ground,"sand-veil, sand-rush",6,120,60
electrode,101,77,101,electric,"soundproof, static, aftermath",12,666,172
ekans,23,78,23,poison,"intimidate, shed-skin, unnerve",20,69,58
machamp,68,79,68,fighting,"guts, no-guard, steadfast",16,1300,227
jolteon,135,80,135,electric,"volt-absorb, quick-feet",8,245,184
wartortle,8,81,8,water,"torrent, rain-dish",10,225,142
kadabra,64,82,64,psychic,"synchronize, inner-focus, magic-guard",13,565,140
horsea,116,83,116,water,"swift-swim, sniper, damp",4,80,59
kingler,99,84,99,water,"hyper-cutter, shell-armor, sheer-force",13,600,166
magneton,82,85,82,"electric, steel","magnet-pull, sturdy, analytic",10,600,163
blastoise,9,86,9,water,"torrent, rain-dish",16,855,239
growlithe,58,87,58,fire,"intimidate, flash-fire, justified",7,190,70
magnemite,81,88,81,"electric, steel","magnet-pull, sturdy, analytic",3,60,65
zubat,41,89,41,"poison, flying","inner-focus, infiltrator",8,75,49
clefable,36,90,36,fairy,"cute-charm, magic-guard, unaware",13,400,217
haunter,93,91,93,"ghost, poison",levitate,16,1,142
grimer,88,92,88,poison,"stench, sticky-hold, poison-touch",9,300,65
mr-mime,122,93,122,"psychic, fairy","soundproof, filter, technician",13,545,161
snorlax,143,94,143,normal,"immunity, thick-fat, gluttony",21,4600,189
seadra,117,95,117,water,"poison-point, sniper, damp",12,250,154
rapidash,78,96,78,fire,"run-away, flash-fire, flame-body",17,950,175
weezing,110,97,110,poison,"levitate, neutralizing-gas, stench",12,95,172
articuno,144,98,144,"ice, flying","pressure, snow-cloak",17,554,261
squirtle,7,99,7,water,"torrent, rain-dish",5,90,63
muk,89,100,89,poison,"stench, sticky-hold, poison-touch",12,300,175
butterfree,12,101,12,"bug, flying","compound-eyes, tinted-lens",11,320,178
raticate,20,102,20,normal,"run-away, guts, hustle",7,185,145
venusaur,3,103,3,"grass, poison","overgrow, chlorophyll",20,1000,236
nidoking,34,104,34,"poison, ground","poison-point, rivalry, sheer-force",14,620,227
fearow,22,105,22,"normal, flying","keen-eye, sniper",12,380,155
raichu,26,106,26,electric,"static, lightning-rod",8,300,218
arbok,24,107,24,poison,"intimidate, shed-skin, unnerve",35,650,157
krabby,98,108,98,water,"hyper-cutter, shell-armor, sheer-force",4,65,65
tentacool,72,109,72,"water, poison","clear-body, liquid-ooze, rain-dish",9,455,67
slowpoke,79,110,79,"water, psychic","oblivious, own-tempo, regenerator",12,360,63
mewtwo,150,111,150,psychic,"pressure, unnerve",20,1220,306
tauros,128,112,128,normal,"intimidate, anger-point, sheer-force",14,884,172
lickitung,108,113,108,normal,"own-tempo, oblivious, cloud-nine",12,655,77
jigglypuff,39,114,39,"normal, fairy","cute-charm, competitive, friend-guard",5,55,95
voltorb,100,115,100,electric,"soundproof, static, aftermath",5,104,66
bellsprout,69,116,69,"grass, poison","chlorophyll, gluttony",7,40,60
charizard,6,117,6,"fire, flying","blaze, solar-power",17,905,240
farfetchd,83,118,83,"normal, flying","keen-eye, inner-focus, defiant",8,150,132
spearow,21,119,21,"normal, flying","keen-eye, sniper",3,20,52
hitmonchan,107,120,107,fighting,"keen-eye, iron-fist, inner-focus",14,502,159
rhydon,112,121,112,"ground, rock","lightning-rod, rock-head, reckless",19,1200,170
metapod,11,122,11,bug,shed-skin,7,99,72
dodrio,85,123,85,"normal, flying","run-away, early-bird, tangled-feet",18,852,165
gyarados,130,124,130,"water, flying","intimidate, moxie",65,2350,189
psyduck,54,125,54,water,"damp, cloud-nine, swift-swim",8,196,64
dragonair,148,126,148,dragon,"shed-skin, marvel-scale",40,165,147
pikachu,25,127,25,electric,"static, lightning-rod",4,60,112
mew,151,128,151,psychic,synchronize,4,40,270
machoke,67,129,67,fighting,"guts, no-guard, steadfast",15,705,142
flareon,136,130,136,fire,"flash-fire, guts",9,250,184
cubone,104,131,104,ground,"rock-head, lightning-rod, battle-armor",4,65,64
parasect,47,132,47,"bug, grass","effect-spore, dry-skin, damp",10,295,142
alakazam,65,133,65,psychic,"synchronize, inner-focus, magic-guard",15,480,225
golem,76,134,76,"rock, ground","rock-head, sturdy, sand-veil",14,3000,223
clefairy,35,135,35,fairy,"cute-charm, magic-guard, friend-guard",6,75,113
ditto,132,136,132,normal,"limber, imposter",3,40,101
kangaskhan,115,137,115,normal,"early-bird, scrappy, inner-focus",22,800,172
diglett,50,138,50,ground,"sand-veil, arena-trap, sand-force",2,8,53
shellder,90,139,90,water,"shell-armor, skill-link, overcoat",3,40,61
hypno,97,140,97,psychic,"insomnia, forewarn, inner-focus",16,756,169
chansey,113,141,113,normal,"natural-cure, serene-grace, healer",11,346,395
rattata,19,142,19,normal,"run-away, guts, hustle",3,35,51
ponyta,77,143,77,fire,"run-away, flash-fire, flame-body",10,300,82
poliwhirl,61,144,61,water,"water-absorb, damp, swift-swim",10,200,135
koffing,109,145,109,poison,"levitate, neutralizing-gas, stench",6,10,68
poliwag,60,146,60,water,"water-absorb, damp, swift-swim",6,124,60
paras,46,147,46,"bug, grass","effect-spore, dry-skin, damp",3,54,57
pinsir,127,148,127,bug,"hyper-cutter, mold-breaker, moxie",15,550,175
poliwrath,62,149,62,"water, fighting","water-absorb, damp, swift-swim",13,540,230
zapdos,145,150,145,"electric, flying","pressure, static",16,526,261
pidgey,16,151,16,"normal, flying","keen-eye, tangled-feet, big-pecks",3,18,50
